Command,Mode,Script,Application,Repository,Title
new chat,NULL,key(ctrl-n),global,mystuff,WhatsApp
close chat,NULL,key(ctrl-w),global,mystuff,WhatsApp
search,NULL,key(ctrl-f),global,mystuff,WhatsApp
search in chat,NULL,key(ctrl-shift-f),global,mystuff,WhatsApp
profile,NULL,key(ctrl-p),global,mystuff,WhatsApp
mute chat,NULL,key(ctrl-shift-m),global,mystuff,WhatsApp
toggle read,NULL,key(ctrl-shift-u),global,mystuff,WhatsApp
emoji panel,NULL,key(ctrl-shift-e),global,mystuff,WhatsApp
gif panel,NULL,key(ctrl-shift-g),global,mystuff,WhatsApp
sticker panel,NULL,key(ctrl-shift-s),global,mystuff,WhatsApp
previous chat,NULL,key(ctrl-shift-[),global,mystuff,WhatsApp
next chat,NULL,key(ctrl-shift-]),global,mystuff,WhatsApp
open chat <user.number>,NULL,"
key(ctrl:down)
input(number)
key(ctrl:up)",global,mystuff,WhatsApp
edit last message,NULL,key(ctrl-up),global,mystuff,WhatsApp
zoom in,NULL,key(ctrl-+),global,mystuff,WhatsApp
zoom out,NULL,key(ctrl--),global,mystuff,WhatsApp
replace <user.draft_anchor> with <user.text>,NULL,"
user.draft_select(""{draft_anchor}"")
result = user.formatted_text(text, ""NOOP"")
insert(result)",global,community,Talon Draft
(pre | cursor | cursor before) <user.draft_anchor>,NULL,"
user.draft_position_caret(""{draft_anchor}"")",global,community,Talon Draft
(post | cursor after) <user.draft_anchor>,NULL,"
user.draft_position_caret(""{draft_anchor}"", 1)",global,community,Talon Draft
(take | select) <user.draft_anchor>,NULL,"user.draft_select(""{draft_anchor}"")",global,community,Talon Draft
(take | select) <user.draft_anchor> (through | past) <user.draft_anchor>,NULL,"
user.draft_select(""{draft_anchor_1}"", ""{draft_anchor_2}"")",global,community,Talon Draft
(change | chuck | clear) <user.draft_anchor>,NULL,"
user.draft_select(""{draft_anchor}"", """", 1)
key(backspace)",global,community,Talon Draft
(change | chuck | clear) <user.draft_anchor> (through | past) <user.draft_anchor>,NULL,"
user.draft_select(draft_anchor_1, draft_anchor_2, 1)
key(backspace)",global,community,Talon Draft
<user.formatters> word <user.draft_anchor>,NULL,"
user.draft_select(""{draft_anchor}"", """", 1)
user.formatters_reformat_selection(user.formatters)",global,community,Talon Draft
<user.formatters> <user.draft_anchor> (through | past) <user.draft_anchor>,NULL,"
user.draft_select(draft_anchor_1, draft_anchor_2, 1)
user.formatters_reformat_selection(user.formatters)",global,community,Talon Draft
zoom too fit,NULL,key(shift-1),microsoft_edge,mystuff,FigJam
zoom to selection,NULL,key(shift-2),microsoft_edge,mystuff,FigJam
zoom to one hundred,NULL,key(ctrl-0),microsoft_edge,mystuff,FigJam
zoom in,NULL,key(ctrl-+),microsoft_edge,mystuff,FigJam
toggle user interface,NULL,key(ctrl-\),microsoft_edge,mystuff,FigJam
Open new chat,NULL,key(ctrl-shift-o),global,sight-free-talon,/https://chat.openai.com/
Focus chat input,NULL,key(shift-esc),global,sight-free-talon,/https://chat.openai.com/
Copy last code block,NULL,key(ctrl-shift-;),global,sight-free-talon,/https://chat.openai.com/
Copy last response,NULL,key(ctrl-shift-c),global,sight-free-talon,/https://chat.openai.com/
speak [last] (response | output | chat),NULL,"
key(ctrl-shift-c)
sleep(0.3)
user.tts(clip.text())",global,sight-free-talon,/https://chat.openai.com/
speak last code [block],NULL,"
key(ctrl-shift-;)
sleep(0.3)
user.tts(clip.text())",global,sight-free-talon,/https://chat.openai.com/
Set custom instructions,NULL,key(ctrl-shift-i),global,sight-free-talon,/https://chat.openai.com/
Toggle sidebar,NULL,key(ctrl-shift-s),global,sight-free-talon,/https://chat.openai.com/
Delete chat,NULL,key(ctrl-shift-delete),global,sight-free-talon,/https://chat.openai.com/
yank,NULL,"
key(y)
key(enter)",global,community,/git add .*\-p/
near,NULL,"
key(n)
key(enter)",global,community,/git add .*\-p/
quench,NULL,"
key(q)
key(enter)",global,community,/git add .*\-p/
drum,NULL,"
key(d)
key(enter)",global,community,/git add .*\-p/
air,NULL,"
key(a)
key(enter)",global,community,/git add .*\-p/
new chat,NULL,"
key(ctrl-shift-o)",msedge.exe,mystuff,/chatgpt|chat gpt/i
focus input,NULL,"
key(shift-esc)",msedge.exe,mystuff,/chatgpt|chat gpt/i
copy code block,NULL,"
key(ctrl-shift-;)",msedge.exe,mystuff,/chatgpt|chat gpt/i
copy response,NULL,"
key(ctrl-shift-c)",msedge.exe,mystuff,/chatgpt|chat gpt/i
set instructions,NULL,"
key(ctrl-shift-i)",msedge.exe,mystuff,/chatgpt|chat gpt/i
toggle sidebar,NULL,"
key(ctrl-shift-s)",msedge.exe,mystuff,/chatgpt|chat gpt/i
delete chat,NULL,"
key(ctrl-shift-backspace)",msedge.exe,mystuff,/chatgpt|chat gpt/i
show my message,NULL,"
user.hud_publish_content(""\n Mixed <*Mode/> Is: <+Great/>"", ""my_message"", ""Talon Voice Modes"")",global,mystuff,NULL
hide my message,NULL,"
user.hud_publish_content("""", ""my_message"", """")",global,mystuff,NULL
switch tab,NULL,"user.vscode(""workbench.action.switchWindow"")",vscode,mystuff,NULL
terminal tab,NULL,"user.vscode(""workbench.action.terminal.focus"")",vscode,mystuff,NULL
single tab,NULL,"user.vscode(""workbench.action.showEditorTab"")",vscode,mystuff,NULL
multi tabs,NULL,"user.vscode(""workbench.action.showMultipleEditorTabs"")",vscode,mystuff,NULL
solution explorer,NULL,"user.vscode(""solutionExplorer.focus"")",vscode,mystuff,NULL
symbols,NULL,"user.vscode(""workbench.action.showAllSymbols"")",vscode,mystuff,NULL
[go to] definition,NULL,"user.vscode(""editor.action.revealDefinition"")",vscode,mystuff,NULL
[focus] problems,NULL,"user.vscode(""workbench.panel.markers.view.focus"")",vscode,mystuff,NULL
maximize panel,NULL,"user.vscode(""workbench.action.toggleMaximizedPanel"")",vscode,mystuff,NULL
(terminal focus) | (focus terminal),NULL,"user.vscode(""workbench.action.terminal.focus"")",vscode,mystuff,NULL
terminal build,NULL,"
user.vscode(""workbench.action.terminal.focus"")
sleep(100ms)
insert(""dotnet build"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
terminal run,NULL,"
user.vscode(""workbench.action.terminal.focus"")
sleep(100ms)
insert(""dotnet run"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
terminal watch,NULL,"
user.vscode(""workbench.action.terminal.focus"")
sleep(100ms)
insert(""dotnet watch run"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
local host Marvin,NULL,"user.open_url(""http://localhost:5016"")",vscode,mystuff,NULL
drop marker,NULL,"user.vscode(""selectionssaver.saveBookmark"")",vscode,mystuff,NULL
collect marker,NULL,"user.vscode(""selectionssaver.restoreBookmark"")",vscode,mystuff,NULL
save swap marker,NULL,"user.vscode(""selectionssaver.saveSelectionToSwapSlot"")",vscode,mystuff,NULL
swap marker,NULL,"user.vscode(""selectionssaver.swapWithSwapSlot"")",vscode,mystuff,NULL
focus search,NULL,"user.vscode(""workbench.view.search"")",vscode,mystuff,NULL
focus extensions,NULL,"user.vscode(""workbench.view.extensions"")",vscode,mystuff,NULL
focus explorer,NULL,"user.vscode(""workbench.view.explorer"")",vscode,mystuff,NULL
focus debug,NULL,"user.vscode(""workbench.view.debug"")",vscode,mystuff,NULL
[focus] source control,NULL,"user.vscode(""workbench.view.scm"")",vscode,mystuff,NULL
next issue,NULL,"user.vscode(""editor.action.marker.next"")",vscode,mystuff,NULL
previous issue,NULL,"user.vscode(""editor.action.marker.prev"")",vscode,mystuff,NULL
(focus) | (view) Controller,NULL,"user.vscode(""extension.goToController"")",vscode,mystuff,NULL
go to view,NULL,"user.vscode(""extension.goToView"")",vscode,mystuff,NULL
(view code) | (code behind),NULL,"user.vscode(""extension.goToCodeBehind"")",vscode,mystuff,NULL
[view] component,NULL,"user.vscode(""extension.goToBlazorComponent"")",vscode,mystuff,NULL
Go to next bookmark,NULL,"user.vscode(""editor.action.goToNextBookmark"")",vscode,mystuff,NULL
open smart tag,NULL,"user.vscode(""editor.action.quickFix"")",vscode,mystuff,NULL
last edit,NULL,"user.vscode(""workbench.action.navigateToLastEditLocation"")",vscode,mystuff,NULL
previous edit,NULL,"user.vscode(""workbench.action.navigateBackInEditLocations"")",vscode,mystuff,NULL
next edit,NULL,"user.vscode(""workbench.action.navigateForwardInEditLocations"")",vscode,mystuff,NULL
(show code places) | symbol,NULL,"user.vscode(""workbench.action.gotoSymbol"")",vscode,mystuff,NULL
move line down,NULL,"user.vscode(""editor.action.moveLinesDownAction"")",vscode,mystuff,NULL
move line up,NULL,"user.vscode(""editor.action.moveLinesUpAction"")",vscode,mystuff,NULL
view problem,NULL,"user.vscode(""editor.action.marker.next"")",vscode,mystuff,NULL
bar connections,NULL,"user.vscode(""dataExplorer.servers.focus"")",vscode,mystuff,NULL
bar notebooks,NULL,"user.vscode(""workbench.view.notebooks"")",vscode,mystuff,NULL
go method,NULL,"user.vscode(""semantic-movement.jumpToContainingFunction"")",vscode,mystuff,NULL
[go] implementation,NULL,"user.vscode(""editor.action.goToImplementation"")",vscode,mystuff,NULL
last position,NULL,"user.vscode(""workbench.action.navigateBack"")",vscode,mystuff,NULL
breadcrumbs focus,NULL,"user.vscode(""breadcrumbs.focus"")",vscode,mystuff,NULL
show code lens,NULL,"user.vscode(""codelens.showLensesInCurrentLine"")",vscode,mystuff,NULL
keyboard shortcuts,NULL,"user.vscode(""workbench.action.openGlobalKeybindings"")",vscode,mystuff,NULL
focus editors,NULL,"user.vscode(""workbench.files.action.focusOpenEditorsView"")",vscode,mystuff,NULL
select matching all,NULL,"user.vscode(""editor.action.selectHighlights"")",vscode,mystuff,NULL
select matching <user.number_signed_small>,NULL,"
user.vscode(""editor.action.addSelectionToNextFindMatch"")
repeat(number_signed_small-1)",vscode,mystuff,NULL
select matching next,NULL,"user.vscode(""editor.action.addSelectionToNextFindMatch"")",vscode,mystuff,NULL
select matching previous,NULL,"user.vscode(""editor.action.addSelectionToPreviousFindMatch"")",vscode,mystuff,NULL
collapse folders,NULL,"user.vscode(""workbench.files.action.collapseExplorerFolders"")",vscode,mystuff,NULL
(search files [by name]) | (navigate [to]),NULL,"
user.vscode(""workbench.action.quickOpen"")",vscode,mystuff,NULL
(hunt | search | find) this,NULL,edit.find(),vscode,mystuff,NULL
search files <user.cursorless_target>,NULL,"
value = user.cursorless_get_text(cursorless_target, true)
user.vscode(""workbench.action.quickOpen"")
insert(value)",vscode,mystuff,NULL
search files [<user.text>],NULL,"
user.vscode(""workbench.action.quickOpen"")
insert(text)",vscode,mystuff,NULL
open folder,NULL,"user.vscode(""workbench.action.files.openFolder"")",vscode,mystuff,NULL
file save as,NULL,"user.vscode(""workbench.action.files.saveAs"")",vscode,mystuff,NULL
file save all,NULL,"user.vscode(""workbench.action.files.saveAll"")",vscode,mystuff,NULL
focus open [files | tab],NULL,"user.vscode(""workbench.files.action.focusOpenEditorsView"")",vscode,mystuff,NULL
close others,NULL,"user.vscode(""workbench.action.closeOtherEditors"")",vscode,mystuff,NULL
rename [file],NULL,key(f2),vscode,mystuff,NULL
new file here,NULL,"user.vscode(""fileutils.newFile"")",vscode,mystuff,NULL
new folder,NULL,"user.vscode(""explorer.newFolder"")",vscode,mystuff,NULL
switch files,NULL,"user.vscode(""workbench.action.quickOpenPreviousRecentlyUsedEditor"")",vscode,mystuff,NULL
new file,NULL,"
#user.vscode(""csdevkit.addNewFile"")
key(menu)
sleep(100ms)
key(down)",vscode,mystuff,NULL
please dotnet,NULL,"
key(f1)
sleep(300ms)
insert("".NET"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
focus editor,NULL,"user.vscode(""workbench.action.focusActiveEditorGroup"")",vscode,mystuff,NULL
format code,NULL,"user.vscode(""editor.action.formatDocument"")",vscode,mystuff,NULL
expand selection,NULL,"user.vscode(""editor.action.smartSelect.expand"")",vscode,mystuff,NULL
shrink selection,NULL,"user.vscode(""editor.action.smartSelect.shrink"")",vscode,mystuff,NULL
comment line,NULL,"user.vscode(""editor.action.commentLine"")",vscode,mystuff,NULL
parameter info,NULL,"user.vscode(""editor.action.triggerParameterHints"")",vscode,mystuff,NULL
symbol rename,NULL,"user.vscode(""editor.action.rename"")",vscode,mystuff,NULL
drop anchor,NULL,"user.vscode(""editor.action.setSelectionAnchor"")",vscode,mystuff,NULL
collect anchor,NULL,"user.vscode(""editor.action.goToSelectionAnchor"")",vscode,mystuff,NULL
select from anchor,NULL,"user.vscode(""editor.action.selectFromAnchorToCursor"")",vscode,mystuff,NULL
open accessible view,NULL,"user.vscode(""editor.action.accessibleView"")",vscode,mystuff,NULL
previous tab,NULL,"user.vscode(""workbench.action.previousEditor"")",vscode,mystuff,NULL
next tab,NULL,"user.vscode(""workbench.action.nextEditor"")",vscode,mystuff,NULL
(closed tab | close tab),NULL,"user.vscode(""workbench.action.closeActiveEditor"")",vscode,mystuff,NULL
maximize editor,NULL,"
key(f1)
sleep(100ms)
insert(""View: Toggle Primary Sidebar Visibility"")
key(enter)",vscode,mystuff,NULL
sidebar shrink,NULL,"user.vscode(""workbench.action.increaseViewWidth"")",vscode,mystuff,NULL
sidebar grow,NULL,"user.vscode(""workbench.action.decreaseViewWidth"")",vscode,mystuff,NULL
split grow,NULL,"user.vscode(""workbench.action.increaseViewSize"")",vscode,mystuff,NULL
split shrink,NULL,"user.vscode(""workbench.action.decreaseViewSize"")",vscode,mystuff,NULL
zoom in small,NULL,"
key(ctrl:down)
user.mouse_scroll_up()
key(ctrl:up)",vscode,mystuff,NULL
zoom out small,NULL,"
key(ctrl:down)
user.mouse_scroll_down()
key(ctrl:up)",vscode,mystuff,NULL
toggle secondary,NULL,"user.vscode(""workbench.action.closeAuxiliaryBar"")",vscode,mystuff,NULL
put <user.cursorless_target>,NULL,"
value = user.cursorless_get_text(cursorless_target, true)
insert(value)",vscode,mystuff,NULL
toggle hats,NULL,"user.vscode(""cursorless.toggleDecorations"")",vscode,mystuff,NULL
<user.formatters> {user.cursorless_reformat_action} <user.cursorless_target>,NULL,"
user.private_cursorless_reformat(cursorless_target, formatters)",vscode,mystuff,NULL
{user.search_engine} scout <user.cursorless_target>,NULL,"
text = user.cursorless_get_text(cursorless_target)
user.search_with_search_engine(search_engine, text)",vscode,mystuff,NULL
